�=50;Vulnerabilities=400
651;"powered by php photo album" | inurl:"main.php?cmd=album" -demo2 -pitanje
652;"powered by php update"
653;"powered by phpAdBoard"
654;"powered by phpEmployment"
655;"powered by phpGreetCards"
656;"powered by phplist" | inurl:"lists/?p=subscribe" | inurl:"lists/index.php?p=subscribe" -ubbi -bugs +phplist -tincan.co.uk
657;"powered by phpmydirectory" OR intext:"2001-2006 phpMyDirectory.com"
658;"powered by pppblog v 0.3.(.)"
659;"powered by real-estate-website"
660;"powered by runcms" -runcms.com -runcms.org
661;"powered by sX-Shop" 
662;"powered by sazcart"
663;"powered by sblog" +"version 0.7"
664;"powered by seditio" OR "powered by ldu"
665;"powered by shutter v0.1.1"
666;"powered by simpleview CMS"
667;"powered by sphider" -exploit -ihackstuff -www.cs.ioc.ee
668;"powered by sunshop"
669;"powered by tikiwiki"
670;"powered by twg"
671;"powered by ubbthreads"
672;"powered by vsp stats processor"
673;"powered by webClassifieds"
674;"powered by xmb"
675;"powered by yourtube"
676;"powered by zipbox media"
677;"powered by zomplog"
678;"powered by: WebLeague" 
679;"powered by: elkagroup" 
680;"powered by: profitCode"
681;"powergap" or "s04.php" or s01.php or s02.php
682;"propulsÃ© par JBlog"
683;"propulsé par DotClear" "fil atom" "fil rss" +commentaires
684;"qjForum"
685;"realizacja eCreo.eu"
686;"running: Nucleus v3.1" -.nucleuscms.org -demo
687;"script by RECIPE SCRIPT"
688;"site by Designscope"
689;"site powered by intuitive-websites.com"
690;"sitio web diseñado por www.toronja.com.pe"
691;"software 2004-2005 by randshop"
692;"this site is using the webspell script (version: 4.01.02)"
693;"toendaCMS is Free Software released under the GNU/GPL License." | "powered by toendaCMS" -inurl:demo
694;"txx cms"
695;"visiteurs v2.0"
696;"wow roster version 1.*"
697;"wow roster version 1.5.*"
698;"© 2004 PHPKick.de Version 0.8" 
699;"© 2008 DevWorx - devworx.somee.com"  
700;"© 2009 Azimut Technologie" 
701;"© Sabdrimer CMS"
702;"Â© 2005-2006 Powered by eSyndiCat Link Exchange Script"
703;("Skin Design by Amie of Intense")|("Fanfiction Categories" "Featured Stories")|("default2, 3column, Romance, eFiction")
704;("This DragonflyÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ installation was" | "Thanks for downloading Dragonfly") -inurl:demo -inurl:cpgnuke.com
705;("powered by nocc" intitle:"NOCC Webmail") -site:sourceforge.net -Zoekinalles.nl -analysis
706;(intitle:"Flyspray setup"|"powered by flyspray 0.9.7") -flyspray.rocks.cc
707;(intitle:"metaframe XP Login")|(intitle:"metaframe Presentation server Login")
708;Powered by Invision Power Board v2.0.0..2
709;#����!
710;+intext:"powered by MyBulletinBoard"
711;724CMS Powered, 724CMS Version 4.59. Enterprise 
712;AlstraSoft Web "ESE"
713;Copyright . Nucleus CMS v3.22 . Valid XHTML 1.0 Strict . Valid CSS . Back to top -demo -"deadly eyes"
714;Copyright 2007, PHPAUCTION.NET
715;CrÃ©Ã© par Narfight, ClanLite V2.2006.05.20 Â© 2000-2005
716;FhImage, powered by Flash-here.com
717;Nwahy.com 2.1 , inurl:'add-site.html'
718;Powered by "vcart 3.3.2"
719;Powered by Ac4p.com Gallery v1.0 , Copyright© 2007 ac4p.com
720;Powered by Discuz! 1.0 © 2002, Crossday Studio of 11cn.org
721;Powered by Dodo, Bubo & Misty. Feed us!
722;This page was produced using SAM Broadcaster. Â© Copyright Spacial Audio Solutions, LLC 1999 - 2004.
723;This site is powered by e107, which is released under the terms of the GNU GPL License.
724;[ Copyright 2005-2006 phpDirectorySourceâ„¢, all rights reserved ]
725;allintext: "This site is powered by IndexScript"
726;allintext:" If you would like to contact us, our email address is" traffic
727;allintext:"Browse Blogs by Category"
728;allintext:"Browse our directory of our members top sites or create your own for free!"
729;allintext:"Home Member Search Chat Room Forum Help/Support privacy policy"
730;allintext:"Latest Pictures" Name   Gender   Profile   Rating
731;allintext:"Powered By Buddy Zone"
732;allintext:"Powered by: TotalCalendar"
733;allintext:"SuperCali Event Calendar"
734;allintitle: "MCgallery 0.5b"
735;allinurl :"/modules/tutorials/"
736;allinurl :"modules/eblog"
737;allinurl :"modules/gallery"
738;allinurl :"modules/recipe"
739;allinurl :"wp-content/plugins/st_newsletter"
740;allinurl: "/modules/myTopics/"
741;allinurl: "com_actualite"
742;allinurl: "com_alberghi" detail
743;allinurl: "com_estateagent"
744;allinurl: "com_galeria"
745;allinurl: "com_glossary"
746;allinurl: "com_joovideo" detail
747;allinurl: "com_rapidrecipe"user_id
748;allinurl: "index php p shop"categ
749;allinurl: "index.php?area"galid
750;allinurl: "index.php?mod=galerie"action=gal
751;allinurl: "index.php?option=com_doc"
752;allinurl: "index.php?p=gallerypic img_id"
753;allinurl: "index.php?p=poll"showresult
754;allinurl: "index.php?showlink"links
755;allinurl: "modules MyAnnonces index php pa view"
756;allinurl: "modules/dictionary"
757;allinurl: "modules/dictionary/detail.php?id" 
758;allinurl: "modules/eEmpregos/index.php"
759;allinurl: "modules/glossaires"
760;allinurl: "modules/wfdownloads/viewcat.php?cid"
761;allinurl: "name Sections op viewarticle artid"
762;allinurl: "pollBooth.php?op=results"pollID
763;allinurl: "showCat.php?cat_id"
764;allinurl: "wordspew-rss.php"
765;allinurl: aid "com_xfaq"
766;allinurl: cid"modules/classifieds/index.php?pa=Adsview"
767;allinurl: com_gallery "func"
768;allinurl: com_mcquiz "tid"
769;allinurl: com_paxxgallery "userid" 
770;allinurl: com_pcchess "user_id"
771;allinurl: com_quiz"tid"
772;allinurl: galid "index.php?p=gallerypic"
773;allinurl: id "com_jooget"
774;allinurl: modules-php-op-modload "req view_cat"
775;allinurl: page_id album "photo"
776;allinurl:"/lildbi/" 
777;allinurl:"/questcms/"
778;allinurl:"/ubbthreads/"
779;allinurl:"article.download.php"
780;allinurl:"channel_detail.php?chid="
781;allinurl:"com_accombo"
782;allinurl:"com_ahsshop"do=default
783;allinurl:"com_candle"
784;allinurl:"com_cinema"
785;allinurl:"com_extcalendar"
786;allinurl:"com_garyscookbook"
787;allinurl:"com_n-gallery"
788;allinurl:"com_na_content"
789;allinurl:"com_neogallery"
790;allinurl:"com_restaurante"
791;allinurl:"com_simpleshop"
792;allinurl:"detResolucion.php?tipodoc_id="
793;allinurl:"index.php?mod=archives"
794;allinurl:"index.php?site=" "W-Agora"
795;allinurl:"jokes.php?catagorie="
796;allinurl:"lyrics_menu/lyrics_song.php?l_id="
797;allinurl:"macgurublog.php?uid="
798;allinurl:"members.asp?action"
799;allinurl:"modules/photo/viewcat.php?id"
800;allinurl:"shop.htm?shopMGID="
801;allinurl:"verliadmin"
802;allinurl:"xGb.php"
803;allinurl:clientsignup.php "classifieds"
804;allinurl:flashblog.html "flashblog"
805;anyInventory, the most flexible and powerful web-based inventory system
806;ext:php intext:"Powered by phpNewMan Version"
807;ext:pl inurl:cgi intitle:"FormMail *"  -"*Referrer" -"* Denied" -sourceforge -error -cvs -input
808;filetype:asp inurl:"shopdisplayproducts.asp"
809;filetype:php intitle:"paNews v2.0b4"
810;filetype:php inurl:index.php inurl:"module=subjects" inurl:"func=*" (listpages| viewpage | listcat)
811;http://www.google.com/search?q="Powered+by+XMB"
812;intext : "Website by conceptinternetltd"
813;intext: "Powered by Marinet" 
814;intext: "Site developed & mantained by Woodall Creative Group" 
815;intext:" Website Design and Hosting By Netricks, Inc."
816;intext:"2000-2001 The phpHeaven Team" -sourceforge
817;intext:"2000-2001 The phpHeaven Team"
818;intext:"Calendar Program Ãƒâ€šÃ‚Â© Copyright 1999 Matt Kruse" "Add an event"
819;intext:"Design by BB Media.Org" 
820;intext:"Design by BB Media.Org"
821;intext:"Design by MMA Creative" 
822;intext:"Designed by Spaceacre" 
823;intext:"English for dummies"
824;intext:"Event List 0.8 Alpha by schlu.net "
825;intext:"Free Ecommerce Shopping Cart Software by ViArt" +"Your shopping cart is empty!" + "Products  Search" +"Advanced Search" + "All Categories"
826;intext:"Kalimat news system v 1.0" 
827;intext:"LinPHA Version" intext:"Have fun"
828;intext:"Marketing Web Design - Posicionamiento en Buscadores" 
829;intext:"Parlic Design" inurl:id 
830;intext:"PhpGedView Version" intext:"final - index" -inurl:demo
831;intext:"Powered By : Yamamah Version 1.00" 
832;intext:"Powered By Azaronline.com" 
833;intext:"Powered By Geeklog" -geeklog.net
834;intext:"Powered By WorldPay" inurl:productdetail.php 
835;intext:"Powered By: Snitz Forums 2000 Version 3.4.00..03"
836;intext:"Powered by Arcade Builder"
837;intext:"Powered by Atomic Photo Album 1.1.0pre4"
838;intext:"Powered by CLscript.com" 
839;intext:"Powered by Community CMS" 
840;intext:"Powered by CubeCart 3.0.6" intitle:"Powered by CubeCart"
841;intext:"Powered by DEV web management system" -dev-wms.sourceforge.net -demo
842;intext:"Powered by DZOIC Handshakes Professional"
843;intext:"Powered by EZPub" 
844;intext:"Powered by FXRecruiter"
845;intext:"Powered by Firebrand Technologies" 
846;intext:"Powered by Inventory Mojo Software."
847;intext:"Powered by Lore 1.5.6"
848;intext:"Powered by Max.Blog" 
849;intext:"Powered by Max.Blog"
850;intext:"Powered by OnePlug CMS"
851;intext:"Powered by PCPIN.com" -site:pcpin.com -ihackstuff -"works with" -findlaw
852;intext:"Powered by PHPCityPortal.com"
853;intext:"Powered by Pc4Uploader  v9.0"
854;intext:"Powered by Plogger!" -plogger.org -ihackstuff -exploit
855;intext:"Powered by Plogger!" -plogger.org
856;intext:"Powered by Ramaas Software"
857;intext:"Powered by SimpleBBS v1.1"*
858;intext:"Powered by VoiceCMS"
859;intext:"Powered by WSN Links Basic Edition"
860;intext:"Powered by eDocStore"
861;intext:"Powered by eStore v1.0.2" 
862;intext:"Powered by flatnuke-2.5.3" +"Get RSS News" -demo
863;intext:"Powered by phpBB 2.0.13" inurl:"cal_view_month.php"|inurl:"downloads.php"
864;intext:"Powered by phpFastNews"
865;intext:"Powered by pppblog"
866;intext:"Powered by simplog"
867;intext:"Powered by the 1-2-3 music store"
868;intext:"Powered by: Virtual War v1.5.0"
869;intext:"RPG Inferno is not available to guests" or intext:"Battle Ground Â Clans Â Store Â Jobs Â Auction Â Spells Shop Â Statistics Â Member List"
870;intext:"Remository 3.25. is technology by Black Sheep Research"
871;intext:"Site by Triware Technologies Inc"
872;intext:"This site is using phpGraphy" | intitle:"my phpgraphy site"
873;intext:"Web Design by Webz" filetype:asp
874;intext:"Web design by goffgrafix.com" 
875;intext:"jPORTAL 2"  inurl:"mailer.php"
876;intext:"pLink 2.07"
877;intext:"phpbb - auction" inurl:"auction"
878;intext:"powered and designed by Dow Group" 
879;intext:"powered by Milonic" inurl:viewnews.php?id= 
880;intext:"powered by gcards" -ihackstuff -exploit
881;intext:"powered by itaco group"
882;intext:"powered by tincan ltd"
883;intext:"sitio web diseñado por www.toronja.com.pe" 
884;intext:"© Tainos Webdesign" 
885;intext:("UBB.threadsÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ 6.2"|"UBB.threadsÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ 6.3") intext:"You * not logged *" -site:ubbcentral.com
886;intitle:"4images - Image Gallery Management System" and intext:"Powered by 4images 1.7.1"
887;intitle:"ASP inline corporate calendar"   inurl:.asp?id=
888;intitle:"Answer Builder"  Ask a question
889;intitle:"CCMS v3.1 Demo PW" 
890;intitle:"DUcalendar 1.0" 
891;intitle:"Dacio's Image Gallery"
892;intitle:"Directory Listing For /" + inurl:webdav tomcat
893;intitle:"EMUMAIL - Login" "Powered by EMU Webmail"
894;intitle:"HelpDesk" "If you need additional help, please email helpdesk at"
895;intitle:"ITech Bids"
896;intitle:"Jax Formmailer - Administration"
897;intitle:"Login to Calendar"
898;intitle:"Looking Glass v20040427" "When verifying
899;intitle:"MAXSITE"
900;intitle:"MRTG/RRD" 1.1* (inurl:mrtg.cgi | inurl:14all.cgi |traffic.cgi)
901;intitle:"PHP TopSites FREE Remote Admin"
902;intitle:"PowerDownload" ("PowerDownload v3.0.2 Ãƒâ€šÃ‚Â©" | "PowerDownload v3.0.3 Ãƒâ€šÃ‚Â©" ) -site:powerscripts.org
903;intitle:"Powered by Open Bulletin Board" 
904;intitle:"Rx08.ii36B.Rv"
905;intitle:"Shorty (Beta)"
906;intitle:"View Img" inurl:viewimg.php
907;intitle:"WEB//NEWS Personal Newsmanagement" intext:"Ãƒâ€šÃ‚Â© 2002-2004 by Christian Scheb - Stylemotion.de"+"Version 1.4 "+"Login"
908;intitle:"WebJeff - FileManager" intext:"login" intext:Pass|PAsse
909;intitle:"WordPress > * > Login form" inurl:"wp-login.php"
910;intitle:"X7 Chat Help Center" | "Powered By X7 Chat" -milw0rm -exploit
911;intitle:"X7 Chat Help Center"|"Powered By X7 Chat"
912;intitle:"XOOPS Site" intitle:"Just Use it!" | "powered by xoops (2.0)|(2.0.....)"
913;intitle:"b2evo installer" intext:"Installer fÃƒÆ’Ã‚Â¼r Version"
914;intitle:"blog torrent upload"
915;intitle:"igenus webmail login"
916;intitle:"jGallery"
917;intitle:"login to cacti" 
918;intitle:"login to cacti"
919;intitle:"myBloggie 2.1.1..2 - by myWebland"
920;intitle:"osTicket :: Support Ticket System"
921;intitle:"owl intranet * owl" 0.82
922;intitle:"phpDocumentor web interface"
923;intitle:"ppc engine admin login form"
924;intitle:"vrnews v1"
925;intitle:"vtiger CRM 5 - Commercial Open Source CRM"
926;intitle:"zFeeder admin panel"
927;intitle:Mantis "Welcome to the bugtracker" "0.15 | 0.16 | 0.17 | 0.18"
928;intitle:PHPOpenChat inurl:"index.php?language="
929;intitle:guestbook  "advanced guestbook 2.2 powered"
930;intitle:guestbook inurl:guestbook "powered by  Advanced guestbook 2.*" "Sign the Guestbook"
931;intitle:guestbook inurl:guestbook "powered by Adva
932;intitle:phpinfo intext:"php version" +windows
933;inurl"com_gurujibook" 
934;inurl: "com_alphacontent"
935;inurl: "tops_top.php? id_cat ="
936;inurl: user_info.php?user_id= "  Or  " inurl: index.php?catid= "
937;inurl:"/CMS/page.php?p="
938;inurl:"/alternate_profiles/"
939;inurl:"/becommunity/community/index.php?pageurl="
940;inurl:"/cgi-bin/loadpage.cgi?user_id="
941;inurl:"/cgi-bin/ourspace/"
942;inurl:"/files/redirect.asp"
943;inurl:"/gadmin/index.php"
944;inurl:"/geeklog/"
945;inurl:"/go/_files/?file="
946;inurl:"/index.php?m=" "PHPRecipeBook 2.39"
947;inurl:"/index.php?option=com_rsfiles"
948;inurl:"/k12.tr/?part="
949;inurl:"/login.asp?folder=" "Powered by: i-Gallery 3.3"
950;inurl:"/modules.php?name=" "Maximus CMS"
951;inurl:"/modules/friendfinder/"
952;inurl:"/modules/glossaire/"
953;inurl:"/modules/jobs/"
954;inurl:"/modules/library/"
955;inurl:"/modules/myads/"
956;inurl:"/modules/myconference/"
957;inurl:"/modules/repository/"
958;inurl:"/modules/wfsection/"
959;inurl:"/modules/zmagazine/"
960;inurl:"/plugins/ImageManager/manager.php" 
961;inurl:"/plugins/ImageManager/manager.php"
962;inurl:"/rbfminc/"
963;inurl:"/site/articles.asp?idcategory="
964;inurl:"/squirrelcart/" -squirrelcart.com
965;inurl:"/tagit2b/"
966;inurl:"/wp-content/plugins/wp-shopping-cart/"
967;inurl:"?act=phpinfo"
968;inurl:"?delete" +intext:"PHP version" +intext:"Safe_mode"
969;inurl:"?option=com_bsadv"
970;inurl:"?page=duyurular_detay&id="
971;inurl:"?pageNum_RSnews"&view
972;inurl:"?pilih=forum"
973;inurl:"CIHUY"
974;inurl:"IDFM=" "form.php"
975;inurl:"ab_fct.php?fct="
976;inurl:"add_soft.php"
977;inurl:"article.download.php"
978;inurl:"articles.php?topic="
979;inurl:"browse.php?folder=" Powered by GeneShop 5
980;inurl:"browsecats.php?cid=" 
981;inurl:"cal_day.php?op=day&catview="
982;inurl:"cameralife/index.php"
983;inurl:"catalog/product/detail.php?cat=" 
984;inurl:"char.php?id=" OR intitle:Minimanager for trinity server 
985;inurl:"classifide_ad.php"
986;inurl:"classifieds.php?cat=" 
987;inurl:"classifieds.php?op=detail_adverts"
988;inurl:"click.php?hostid="
989;inurl:"clsUploadtest.asp"
990;inurl:"com_a6mambocredits"
991;inurl:"com_acprojects" 
992;inurl:"com_acstartseite" 
993;inurl:"com_acteammember" 
994;inurl:"com_ajaxchat"
995;inurl:"com_artlinks"
996;inurl:"com_avosbillets"
997;inurl:"com_beamospetition" 
998;inurl:"com_bfsurvey" 
999;inurl:"com_biblestudy" 
1000;inurl:"com_biographies" 
1001;inurl:"com_book"
1002;inurl:"com_booklibrary"
1003;inurl:"com_cartweberp" 
1004;inurl:"com_casino_blackjack"
1005;inurl:"com_category"
1006;inurl:"com_ccnewsletter" 
1007;inurl:"com_ckforms" 
1008;inurl:"com_clan" 
1009;inurl:"com_dailymeals" 
1010;inurl:"com_dashboard" 
1011;inurl:"com_dateconverter" 
1012;inurl:"com_dbquery" OR "index.php?option=com_dbquery"
1013;inurl:"com_digifolio"
1014;inurl:"com_dms" 
1015;inurl:"com_equipment"
1016;inurl:"com_event"
1017;inurl:"com_eventcal"
1018;inurl:"com_ezine"
1019;inurl:"com_facebook"
1020;inurl:"com_fastball"
1021;inurl:"com_gameserver"
1022;inurl:"com_ganalytics" 
1023;inurl:"com_gcalendar"
1024;inurl:"com_hestar"
1025;inurl:"com_icrmbasic"
1026;inurl:"com_ignitegallery"
1027;inurl:"com_ijoomla_archive"
1028;inurl:"com_janews" 
1029;inurl:"com_jashowcase " 
1030;inurl:"com_jbudgetsmagic" 
1031;inurl:"com_jcalpro"
1032;inurl:"com_jcollection " 
1033;inurl:"com_jembed"
1034;inurl:"com_jgen"
1035;inurl:"com_jjgallery
1036;inurl:"com_joomlaradiov5"
1037;inurl:"com_jphoto" 
1038;inurl:"com_jpodium"
1039;inurl:"com_jsjobs"
1040;inurl:"com_jvideodirect " 
1041;inurl:"com_kochsuite"
1042;inurl:"com_koesubmit"
1043;inurl:"com_linkdirectory"
1044;inurl:"com_linkr" 
1045;inurl:"com_lyftenbloggie" / "Powered by LyftenBloggie" 
1046;inurl:"com_mambowiki"
1047;inurl:"com_mojo"
1048;inurl:"com_mscomment"
1049;inurl:"com_omphotogallery"
1050;inurl:"com_otzivi" 
1051;inurl:"com_ownbiblio" catalogue
1052;inurl:"com_performs"
1053;inurl:"com_phocagallery"
1054;inurl:"com_photoblog"
1055;inurl:"com_pollxt"
1056;inurl:"com_portfol" 
1057;inurl:"com_portfol"
1058;inurl:"com_prayercenter"
1059;inurl:"com_productbook" 
1060;inurl:"com_projectfork"
1061;inurl:"com_quickfaq"
1062;inurl:"com_rokdownloads"
1063;inurl:"com_rwcards"
1064;inurl:"com_sectionex" 
1065;inurl:"com_simpledownload"
1066;inurl:"com_simplefaq"
1067;inurl:"com_soundset" 
1068;inurl:"com_soundset"
1069;inurl:"com_sqlreport"
1070;inurl:"com_surveymanager"
1071;inurl:"com_tupinambis"
1072;inurl:"com_virtuemart"
1073;inurl:"com_wmtpic"
1074;inurl:"com_youtube"
1075;inurl:"comment.php?serendipity"
1076;inurl:"cont_form.php?cf_id=" 
1077;inurl:"contentPage.php?id=" OR inurl:"displayResource.php?id=" AND intext:"Website by Mile High Creative"
1078;inurl:"coursepage.php?id=" intext:"Web Site design by : Aim Web Design Cheshire" 
1079;inurl:"customer_testimonials.php"
1080;inurl:"directory.php?ax=list" gaming
1081;inurl:"directory.php?cat=" pubs
1082;inurl:"dispatch.php?atknodetype" |  inurl:class.at
1083;inurl:"e107_plugins/my_gallery"
1084;inurl:"extras/update.php" intext:mysql.php -display
1085;inurl:"fbconnect_action=myhome"
1086;inurl:"fclick.php?fid"
1087;inurl:"filebase.php" "Powered by phpBB"
1088;inurl:"forumdisplay.php" +"Powered by: vBulletin Version 3.0.0..4"
1089;inurl:"freshlinks_panel/index.php?linkid"
1090;inurl:"guestbook.admin.php?action=settings" 
1091;inurl:"ibase site:de"
1092;inurl:"index.php?com_remository" 
1093;inurl:"index.php?conteudo=" 
1094;inurl:"index.php?css=mid=art="
1095;inurl:"index.php?edicion_id="
1096;inurl:"index.php?id_menu=" 
1097;inurl:"index.php?ind=blog"
1098;inurl:"index.php?m_id=" 
1099;inurl:"index.php?module=pnFlashGames"
1100;inurl:"index.php?name=PNphpBB2"
1101;inurl:"index.php?option=com_annuaire"
1102;inurl:"index.php?option=com_bookjoomlas" 
1103;inurl:"index.php?option=com_catalogue"
1104;inurl:"index.php?option=com_competitions"
1105;inurl:"index.php?option=com_djiceshoutbox"
1106;inurl:"index.php?option=com_huruhelpdesk" 
1107;inurl:"index.php?option=com_iproperty" 
1108;inurl:"index.php?option=com_jeajaxeventcalendar" 
1109;inurl:"index.php?option=com_jequoteform" 
1110;inurl:"index.php?option=com_jobline"
1111;inurl:"index.php?option=com_jp_jobs" 
1112;inurl:"index.php?option=com_oziogallery" 
1113;inurl:"index.php?option=com_ponygallery"
1114;inurl:"index.php?option=com_portfolio"
1115;inurl:"index.php?option=com_prime" 
1116;inurl:"index.php?option=com_simpleboard"
1117;inurl:"index.php?option=com_simplefaq"
1118;inurl:"index.php?option=com_spa" 
1119;inurl:"index.php?option=com_storedirectory"
1120;inurl:"index.php?pageid=" Property Listings
1121;inurl:"index.php?serverid=" 
1122;inurl:"index2.php?option=rss" OR "powered By Limbo CMS"
1123;inurl:"inurl:file.php?recordID="
1124;inurl:"ir/addlink.php?id=" OR inurl:"addlink.php?id="
1125;inurl:"izle.asp?oyun="
1126;inurl:"jscripts/tiny_mce/plugins/tinybrowser/" OR inurl:"jscripts/tiny_mce/plugins/tinybrowser/" "index of"
1127;inurl:"jscripts/tiny_mce/plugins/tinybrowser/"
1128;inurl:"kgb19"
1129;inurl:"kroax.php?category"
1130;inurl:"links_showcat.php?" 
1131;inurl:"list.php?c="
1132;inurl:"list.php?lcat_id="
1133;inurl:"lista_articulos.php?id_categoria=" 
1134;inurl:"lists/?p=subscribe" | inurl:"lists/index.php?p=subscribe"
1135;inurl:"main_forum.php?cat="
1136;inurl:"member.php?page=comments"
1137;inurl:"messageboard/Forum.asp?"
1138;inurl:"mod=notizie"
1139;inurl:"module=helpcenter" 
1140;inurl:"modules.php?name=My_eGallery"
1141;inurl:"modules/articles/index.php?cat_id="
1142;inurl:"myLDlinker.php" 
1143;inurl:"nabopoll/"
1144;inurl:"noticias.php?notiId="
1145;inurl:"option=com_camelcitydb2" 
1146;inurl:"option=com_elite_experts" 
1147;inurl:"option=com_org" 
1148;inurl:"option=com_simpleshop" & inurl:"viewprod"
1149;inurl:"option=com_tophotelmodule"
1150;inurl:"photo_album.php?alb_id="
1151;inurl:"php/showContent.php?linkid="
1152;inurl:"phpRaid"  "phpRaid" "roster.php?Sort=Race"
1153;inurl:"phpsecurepages"
1154;inurl:"phpwcms/index.php?id="
1155;inurl:"phshoutbox.php"
1156;inurl:"picture.php?cat=" "Powered by PhpWebGallery 1.3.4"
1157;inurl:"powered by eggblog"
1158;inurl:"printable_pedigree.php"
1159;inurl:"printer.asp?forum="
1160;inurl:"product_desc.php?id=" Powered by Zeeways.com
1161;inurl:"produtos.asp?produto="
1162;inurl:"read.asp?fID="
1163;inurl:"sbw2Behoerden.php"
1164;inurl:"search_form.php?sb_showresult="
1165;inurl:"search_results.php?browse=1" 
1166;inurl:"section.php?name=singers"
1167;inurl:"select_file2.php" 
1168;inurl:"simpleblog3"
1169;inurl:"sinagb.php"
1170;inurl:"sitegenius/topic.php"
1171;inurl:"slxweb.dll"
1172;inurl:"sticker/sticker.php?id="
1173;inurl:"tinybrowser.php?" 
1174;inurl:"toplist.php" "powered by phpbb"
1175;inurl:"tr.php?id=" Short Url & Url Tracker
1176;inurl:"tr1.php?id=" Forced Matrix
1177;inurl:"tr1.php?id="
1178;inurl:"track.php?id="
1179;inurl:"tradeCategory.php?id= "
1180;inurl:"userjournals.php?blog."
1181;inurl:"vbplaza.php?do="
1182;inurl:"vcalendar_asp"
1183;inurl:"view.php?ItemID=" rating "rate this review"
1184;inurl:"view_group.php?group_id=" 
1185;inurl:"webboard/view.php?topic="
1186;inurl:"weblink_cat_list.php?bcat_id="
1187;inurl:"wfdownloads/viewcat.php?list="
1188;inurl:"whoiscart/admin/hostinginterfaces/"
1189;inurl:"wp-download.php?dl_id="
1190;inurl:"xampp/biorhythm.php"
1191;inurl:"zcat.php?id=" 
1192;inurl:K-Search, Powered By K-Search
1193;inurl:cat1.php?catID= "Spaceacre" 
1194;inurl:chitchat.php "choose graphic"
1195;inurl:com_ice "catid"
1196;inurl:com_products "intCategoryId"
1197;inurl:com_rapidrecipe "recipe_id"
1198;inurl:database.php | inurl:info_db.php ext:php "Database V2.*" "Burning Board *"
1199;inurl:docmgr | intitle:"DocMGR" "enter your Username and"|"und Passwort bitte"|"saisir votre nom"|"su nombre de usuario" -ext:pdf -inurl:"download.php
1200;inurl:guestbook.php "Advanced GuestBook" "powered by phpbb"
1201;inurl:index.php%"Submit%Articles"%"Member%Login"%"Top%Authors"
1202;inurl:index.php?option=com_liveticker "viewticker"
1203;inurl:index.php?option=com_lqm "showResults"
1204;inurl:index.php?option=com_races "raceId" 
1205;inurl:index.php?option=com_yanc "listid"
1206;inurl:modules.php?op= "pollID"
1207;inurl:pmwiki.php +"Page last modified on" | PmWikiPhilosophy
1208;inurl:server.php ext:php intext:"No SQL" -Released
1209;inurl:sphpblog intext:"Powered by Simple PHP Blog 0.4.0"
1210;inurl:wp-login.php +Register Username Password "remember me" -echo -trac -footwear
1211;pages.php?id= "Multi Vendor Mall" 
1212;pixelpost "RSS 2.0" "ATOM feed" "Valid xHTML / Valid CSS"
1213;''com_noticias''
1214;''links.asp?CatId''
1215;''name Kose_Yazilari op viewarticle artid''
1216;''showad.php?listingid=''
1217;''webboard question.asp QID''
1218;'SEO by NuSEO.PHP'
1219;(c) SriptBux 2008 | Powered By ScriptBux version 2.50 beta 1
1220;/index.php?option=com_restaurante
1221;/modules/amevents/print.php?id=
1222;/modules/mx_links/
1223;/modules/tadbook2/open_book.php?book_sn=
1224;/modules/xhresim/
1225;2009 © Satellite-X
1226;?action=pro_show and ?action=disppro
1227;ADAN (view.php ) Sql Injection Vulnerability
1228;ADP Forum 2.0.3 is powered by VzScripts
1229;APBoard 2.1.0 © 2003-2010 APP - Another PHP Program
1230;ActionnÃƒÂ©e par smartblog
1231;All right reserved 2002-2003 (MSN/Web Server Creator)
1232;Ayemsis Emlak Pro
1233;CaLogic Calendars V1.2.2
1234;ClearBudget v0.6.1
1235;Coded By WebLOADER
1236;Come from home Script ( Latest Project ) www.esmart-vision.com
1237;Copyright . Nucleus CMS v3.22 . Valid XHTML 1.0 Strict . Valid CSS . Back to top
1238;Copyright 1999-2010 Rocksalt International Pty Ltd. All rights reserved
1239;Copyright 2006 Â© Flax Article Manager v1.1
1240;Copyright 2006-2009 Insane Visions
1241;Copyright 2008 Free Image & File Hosting
1242;Copyright 2010 My Hosting. All rights reserved
1243;Copyright 2010. Software Index
1244;Copyright @ 2007 Powered By Hot or Not Clone by Jnshosts.com Rate My Pic :: Home :: Advertise :: Contact us::
1245;Copyright Acme 2008
1246;Copyright Agares Media phpautovideo
1247;Copyright © 2007 by Horst-D. Kröller  CMS: php WCMS
1248;Copyright © 2010 ASP SiteWare. All rights reserved.
1249;Copyright ©2007-2009 by Kasseler CMS. All rights reserved.
1250;Copyright Â©  Rotator 2008
1251;Copyright Â© 2007 Agares Media. Powered by AMCMS3.
1252;Copyright Â© 2007 BrowserCRM Ltd
1253;Copyright Â© Viral Marketing 2008
1254;DA Mailing List System V2 Powered by DigitalArakan.Net
1255;Design by Satcom Co
1256;Designed and Developed by karkia  E-commerce
1257;Designed by:InterTech Co
1258;DevMass Shopping Cart
1259;Doop CMS
1260;Dosya Yukle Scrtipi v1.0
